Node 0 MemTotal,Node 0 MemFree,Node 0 MemUsed,Node 0 SwapCached,Node 0 Active,Node 0 Inactive,Node 0 Active(anon),Node 0 Inactive(anon),Node 0 Active(file),Node 0 Inactive(file),Node 0 Unevictable,Node 0 Mlocked,Node 0 Dirty,Node 0 Writeback,Node 0 FilePages,Node 0 Mapped,Node 0 AnonPages,Node 0 Shmem,Node 0 KernelStack,Node 0 PageTables,Node 0 NFS_Unstable,Node 0 Bounce,Node 0 WritebackTmp,Node 0 KReclaimable,Node 0 Slab,Node 0 SReclaimable,Node 0 SUnreclaim,Node 0 AnonHugePages,Node 0 ShmemHugePages,Node 0 ShmemPmdMapped,Node 0 FileHugePages,Node 0 FilePmdMapped,Node 0 HugePages_Total,Node 0 HugePages_Free,Node 0 HugePages_Surp,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-08-17 09:41:42,118"
0,-6181596,6181596,23504,-174964,6384696,4812,6858356,-179776,-473660,0,0,-20,0,-630928,-68956,6840924,-996,0,16500,0,0,0,-31740,-31820,-31740,-80,0,0,0,0,0,0,0,0,"2024-08-17 09:41:52,120"
0,-6182320,6182320,23540,-174336,6384776,4812,6858416,-179148,-473640,0,0,-24,0,-630244,-68880,6840972,-996,0,16500,0,0,0,-31740,-31820,-31740,-80,0,0,0,0,0,0,0,0,"2024-08-17 09:42:02,123"
0,-6182256,6182256,23540,-174336,6384776,4812,6858416,-179148,-473640,0,0,-24,0,-630244,-68880,6840972,-996,0,16500,0,0,0,-31740,-31820,-31740,-80,0,0,0,0,0,0,0,0,"2024-08-17 09:42:12,124"
0,-6182224,6182224,23540,-174332,6384772,4816,6858412,-179148,-473640,0,0,-24,0,-630244,-68880,6840972,-996,0,16500,0,0,0,-31740,-31820,-31740,-80,0,0,0,0,0,0,0,0,"2024-08-17 09:42:22,125"
0,-6182224,6182224,23540,-174332,6384772,4816,6858412,-179148,-473640,0,0,-24,0,-630244,-68880,6840976,-996,0,16500,0,0,0,-31740,-31820,-31740,-80,0,0,0,0,0,0,0,0,"2024-08-17 09:42:32,126"
0,-6195360,6195360,24256,-164560,6385716,4816,6859256,-169376,-473540,0,0,-24,0,-619484,-66416,6841292,-972,24,16524,0,0,0,-31740,-31816,-31740,-76,0,0,0,0,0,0,0,0,"2024-08-17 09:42:42,128"
0,-6196772,6196772,23872,-164028,6385912,4804,6849712,-168832,-463800,0,0,-24,0,-609556,-66508,6832176,-972,24,16524,0,0,0,-31764,-31840,-31764,-76,0,0,0,0,0,0,0,0,"2024-08-17 09:42:52,129"
0,-6196748,6196748,23872,-164028,6385608,4804,6849392,-168832,-463784,0,0,-24,0,-609548,-66508,6831796,-972,24,16524,0,0,0,-31932,-32008,-31932,-76,0,0,0,0,0,0,0,0,"2024-08-17 09:43:02,130"
0,-6200484,6200484,23872,-163704,6389388,4804,6849412,-168508,-460024,0,0,-24,0,-605416,-66384,6831816,-972,24,16524,0,0,0,-32240,-32300,-32240,-60,0,0,0,0,0,0,0,0,"2024-08-17 09:43:12,133"
0,-6200452,6200452,23872,-163656,6389392,4804,6849416,-168460,-460024,0,0,-24,0,-605416,-66384,6831820,-972,24,16524,0,0,0,-32240,-32300,-32240,-60,0,0,0,0,0,0,0,0,"2024-08-17 09:43:22,134"
