Node 0 MemTotal,Node 0 MemFree,Node 0 MemUsed,Node 0 SwapCached,Node 0 Active,Node 0 Inactive,Node 0 Active(anon),Node 0 Inactive(anon),Node 0 Active(file),Node 0 Inactive(file),Node 0 Unevictable,Node 0 Mlocked,Node 0 Dirty,Node 0 Writeback,Node 0 FilePages,Node 0 Mapped,Node 0 AnonPages,Node 0 Shmem,Node 0 KernelStack,Node 0 PageTables,Node 0 NFS_Unstable,Node 0 Bounce,Node 0 WritebackTmp,Node 0 KReclaimable,Node 0 Slab,Node 0 SReclaimable,Node 0 SUnreclaim,Node 0 AnonHugePages,Node 0 ShmemHugePages,Node 0 ShmemPmdMapped,Node 0 FileHugePages,Node 0 FilePmdMapped,Node 0 HugePages_Total,Node 0 HugePages_Free,Node 0 HugePages_Surp,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-08-19 03:19:29,857"
0,-6125852,6125852,2904,-191128,6346252,404,6859284,-191532,-513032,0,0,20,0,-702260,-90964,6857320,-308,-464,16632,0,0,0,-29084,-29112,-29084,-28,0,0,0,0,0,0,0,0,"2024-08-19 03:19:39,880"
0,-6128092,6128092,2912,-189868,6346264,404,6859288,-190272,-513024,0,0,-4,0,-701032,-89804,6857336,-308,-464,16632,0,0,0,-29080,-29076,-29080,4,0,0,0,0,0,0,0,0,"2024-08-19 03:19:49,882"
0,-6128092,6128092,2916,-189868,6346264,404,6859288,-190272,-513024,0,0,-8,0,-701028,-89804,6857356,-308,-480,16632,0,0,0,-29080,-29076,-29080,4,0,0,0,0,0,0,0,0,"2024-08-19 03:19:59,883"
0,-6128060,6128060,2916,-189868,6346264,404,6859288,-190272,-513024,0,0,-8,0,-701028,-89804,6857368,-308,-480,16632,0,0,0,-29080,-29108,-29080,-28,0,0,0,0,0,0,0,0,"2024-08-19 03:20:09,885"
0,-6128060,6128060,2916,-189868,6346264,404,6859288,-190272,-513024,0,0,-8,0,-701028,-89804,6857388,-308,-480,16632,0,0,0,-29080,-29108,-29080,-28,0,0,0,0,0,0,0,0,"2024-08-19 03:20:19,886"
0,-6128312,6128312,2928,-189812,6346268,404,6859292,-190216,-513024,0,0,-8,0,-700936,-89740,6857416,-308,-480,16632,0,0,0,-29080,-29108,-29080,-28,0,0,0,0,0,0,0,0,"2024-08-19 03:20:29,887"
0,-6133844,6133844,3188,-189332,6348952,388,6850224,-189720,-501272,0,0,-8,0,-688360,-89596,6848196,-308,-432,16660,0,0,0,-29032,-29068,-29032,-36,0,0,0,0,0,0,0,0,"2024-08-19 03:20:39,889"
0,-6133844,6133844,3188,-189312,6348952,388,6850224,-189700,-501272,0,0,-8,0,-688360,-89596,6848200,-308,-432,16660,0,0,0,-29032,-29068,-29032,-36,0,0,0,0,0,0,0,0,"2024-08-19 03:20:49,890"
0,-6133588,6133588,3188,-189312,6348952,388,6850224,-189700,-501272,0,0,-8,0,-688360,-89596,6848200,-308,-432,16660,0,0,0,-29040,-29076,-29040,-36,0,0,0,0,0,0,0,0,"2024-08-19 03:20:59,892"
0,-6135336,6135336,3192,-186724,6349244,388,6850492,-187112,-501248,0,0,-8,0,-685472,-87560,6848284,-308,-464,16660,0,0,0,-29288,-29324,-29288,-36,0,0,0,0,0,0,0,0,"2024-08-19 03:21:09,894"
0,-6135328,6135328,3192,-186704,6349244,388,6850492,-187092,-501248,0,0,-8,0,-685472,-87560,6848284,-308,-464,16660,0,0,0,-29288,-29324,-29288,-36,0,0,0,0,0,0,0,0,"2024-08-19 03:21:19,895"
0,-6135328,6135328,3192,-186704,6349244,388,6850492,-187092,-501248,0,0,-8,0,-685472,-87560,6848284,-308,-464,16660,0,0,0,-29288,-29324,-29288,-36,0,0,0,0,0,0,0,0,"2024-08-19 03:21:29,896"
0,-6127100,6127100,2952,-186196,6344952,392,6841108,-186588,-496156,0,0,-8,0,-680176,-87696,6839140,-308,-464,16660,0,0,0,-30204,-30240,-30204,-36,0,0,0,0,0,0,0,0,"2024-08-19 03:21:39,898"
0,770964,-770964,200,-186328,-537364,204,-41208,-186532,-496156,0,0,-4,0,-682928,-87700,-40920,-308,-472,156,0,0,0,-30396,-30432,-30396,-36,0,0,0,0,0,0,0,0,"2024-08-19 03:21:49,899"
0,753220,-753220,208,-177452,-535444,196,-40640,-177648,-494804,0,0,312,0,-672848,-80900,-40244,-308,-456,460,0,0,0,-30580,-30920,-30580,-340,0,0,0,0,0,0,0,0,"2024-08-19 03:22:00,643"
0,755576,-755576,208,-177060,-535844,188,-41096,-177248,-494748,0,0,72,0,-672396,-80520,-40708,-308,-440,156,0,0,0,-30640,-31080,-30640,-440,0,0,0,0,0,0,0,0,"2024-08-19 03:22:10,645"
0,755100,-755100,212,-176980,-535804,188,-41060,-177168,-494744,0,0,-8,0,-672276,-80476,-40692,-308,-440,156,0,0,0,-30640,-31088,-30640,-448,0,0,0,0,0,0,0,0,"2024-08-19 03:22:20,646"
0,754628,-754628,212,-176980,-535804,188,-41060,-177168,-494744,0,0,-8,0,-672268,-80476,-40680,-308,-440,156,0,0,0,-30640,-31080,-30640,-440,0,0,0,0,0,0,0,0,"2024-08-19 03:22:30,647"
0,753804,-753804,224,-176616,-535972,192,-41240,-176808,-494732,0,0,-4,0,-671784,-80172,-40872,-308,-424,156,0,0,0,-30640,-31096,-30640,-456,0,0,0,0,0,0,0,0,"2024-08-19 03:22:40,648"
0,-4650212,4650212,2332,-175280,4865644,188,5312164,-175468,-446520,0,0,-4,0,-620344,-74940,5311972,-308,72,1420,0,0,0,-30640,-31028,-30640,-388,40960,0,0,0,0,0,0,0,"2024-08-19 03:22:50,650"
0,-6130096,6130096,104,5436656,731408,5631688,1244600,-195032,-513192,0,0,-8,0,-709228,-93320,6877288,-452,72,1440,0,0,0,-31504,-31892,-31504,-388,4096,0,0,0,0,0,0,0,"2024-08-19 03:23:00,652"
0,-6130632,6130632,16,5887628,280656,6082920,793992,-195292,-513336,0,0,-8,0,-709844,-93456,6877832,-852,72,1440,0,0,0,-31768,-32156,-31768,-388,4096,0,0,0,0,0,0,0,"2024-08-19 03:23:10,654"
0,-6136348,6136348,16,5879444,300144,6074732,813464,-195288,-513320,0,0,-4,0,-709824,-93468,6888888,-852,72,1440,0,0,0,-31768,-32156,-31768,-388,4096,0,0,0,0,0,0,0,"2024-08-19 03:23:20,656"
0,-6134084,6134084,16,5887632,285556,6082924,798872,-195292,-513316,0,0,-8,0,-709820,-93468,6882668,-848,72,1440,0,0,0,-31768,-32148,-31768,-380,4096,0,0,0,0,0,0,0,"2024-08-19 03:23:30,658"
0,-6129408,6129408,16,5876268,293368,6071564,806680,-195296,-513312,0,0,-8,0,-709808,-93468,6879516,-836,72,1440,0,0,0,-31768,-32152,-31768,-384,4096,0,0,0,0,0,0,0,"2024-08-19 03:23:40,659"
0,-6137380,6137380,12,5902484,275512,6097780,788824,-195296,-513312,0,0,-8,0,-709828,-93468,6887568,-852,72,1440,0,0,0,-31768,-32152,-31768,-384,4096,0,0,0,0,0,0,0,"2024-08-19 03:23:50,662"
0,-6134816,6134816,12,5900708,275680,6096000,788996,-195292,-513316,0,0,-8,0,-709824,-93468,6885864,-848,72,1440,0,0,0,-31768,-32152,-31768,-384,4096,0,0,0,0,0,0,0,"2024-08-19 03:24:00,664"
0,-6132396,6132396,12,5893844,278268,6089132,791588,-195288,-513320,0,0,-8,0,-709828,-93468,6881624,-852,72,1440,0,0,0,-31768,-32152,-31768,-384,4096,0,0,0,0,0,0,0,"2024-08-19 03:24:10,665"
0,-6136712,6136712,12,5926028,249968,6121320,763284,-195292,-513316,0,0,-8,0,-709824,-93468,6885584,-848,72,1440,0,0,0,-31768,-32152,-31768,-384,4096,0,0,0,0,0,0,0,"2024-08-19 03:24:20,667"
0,-6138644,6138644,12,5921124,258044,6116412,771364,-195288,-513320,0,0,-8,0,-709824,-93468,6888732,-848,72,1440,0,0,0,-31768,-32152,-31768,-384,4096,0,0,0,0,0,0,0,"2024-08-19 03:24:30,669"
0,-6137632,6137632,12,5899860,276264,6095152,789580,-195292,-513316,0,0,-8,0,-709824,-93468,6885868,-848,72,1440,0,0,0,-31768,-32152,-31768,-384,4096,0,0,0,0,0,0,0,"2024-08-19 03:24:40,672"
0,-6135220,6135220,12,5881592,292952,6076888,806264,-195296,-513312,0,0,-8,0,-709828,-93468,6884140,-852,72,1440,0,0,0,-31768,-32152,-31768,-384,4096,0,0,0,0,0,0,0,"2024-08-19 03:24:50,674"
0,-6137176,6137176,12,5880636,296092,6075932,809404,-195296,-513312,0,0,-8,0,-709824,-93468,6886296,-848,72,1440,0,0,0,-31768,-32152,-31768,-384,4096,0,0,0,0,0,0,0,"2024-08-19 03:25:00,675"
0,-6135828,6135828,12,5889568,282892,6084916,796348,-195348,-513456,0,0,4,0,-710032,-93672,6882444,-860,72,1440,0,0,0,-31808,-32160,-31808,-352,4096,0,0,0,0,0,0,0,"2024-08-19 03:25:10,678"
