Node 0 MemTotal,Node 0 MemFree,Node 0 MemUsed,Node 0 SwapCached,Node 0 Active,Node 0 Inactive,Node 0 Active(anon),Node 0 Inactive(anon),Node 0 Active(file),Node 0 Inactive(file),Node 0 Unevictable,Node 0 Mlocked,Node 0 Dirty,Node 0 Writeback,Node 0 FilePages,Node 0 Mapped,Node 0 AnonPages,Node 0 Shmem,Node 0 KernelStack,Node 0 PageTables,Node 0 NFS_Unstable,Node 0 Bounce,Node 0 WritebackTmp,Node 0 KReclaimable,Node 0 Slab,Node 0 SReclaimable,Node 0 SUnreclaim,Node 0 AnonHugePages,Node 0 ShmemHugePages,Node 0 ShmemPmdMapped,Node 0 FileHugePages,Node 0 FilePmdMapped,Node 0 HugePages_Total,Node 0 HugePages_Free,Node 0 HugePages_Surp,timestamp
7768248,6203808,1564440,0,219400,527964,2960,52056,216440,475908,20516,17444,4,0,714048,111544,53948,14840,5904,6112,0,0,0,79280,173208,79280,93928,0,0,0,0,0,0,0,0,"2024-08-27 10:47:32,636"
7768248,91436,7676812,21560,9908,6891788,7720,6890472,2188,1316,20516,17444,0,0,46344,19700,6876244,14372,5904,22616,0,0,0,35868,129812,35868,93944,0,0,0,0,0,0,0,0,"2024-08-27 10:47:42,638"
7768248,81532,7686716,21596,19564,6891376,8592,6889748,10972,1628,20516,17444,40,0,55540,20828,6876352,14408,5520,22632,0,0,0,35868,129732,35868,93864,0,0,0,0,0,0,0,0,"2024-08-27 10:47:52,640"
7768248,80272,7687976,21596,20476,6891500,8592,6889764,11884,1736,20516,17444,0,0,56608,20904,6876368,14408,5520,22632,0,0,0,35884,129748,35884,93864,0,0,0,0,0,0,0,0,"2024-08-27 10:48:02,641"
7768248,80272,7687976,21596,20476,6891508,8592,6889772,11884,1736,20516,17444,0,0,56608,20904,6876384,14408,5520,22632,0,0,0,35884,129748,35884,93864,0,0,0,0,0,0,0,0,"2024-08-27 10:48:12,642"
7768248,79768,7688480,21596,20680,6891544,8592,6889808,12088,1736,20516,17444,0,0,56860,21048,6876416,14408,5520,22632,0,0,0,35884,129748,35884,93864,0,0,0,0,0,0,0,0,"2024-08-27 10:48:22,644"
7768248,79768,7688480,21596,20720,6891564,8592,6889828,12128,1736,20516,17444,0,0,56860,21048,6876444,14408,5520,22632,0,0,0,35884,129748,35884,93864,0,0,0,0,0,0,0,0,"2024-08-27 10:48:32,645"
7768248,72004,7696244,21436,20224,6899264,7824,6881600,12400,17664,20516,17444,0,0,72900,21048,6867604,14408,5520,22632,0,0,0,35908,129788,35908,93880,0,0,0,0,0,0,0,0,"2024-08-27 10:48:42,646"
7768248,60716,7707532,21532,23596,6907224,8584,6862488,15012,44736,20516,17444,0,0,102728,22100,6849160,14408,5504,22640,0,0,0,36016,129904,36016,93888,0,0,0,0,0,0,0,0,"2024-08-27 10:48:52,647"
7768248,61076,7707172,21532,23920,6907260,8584,6862504,15336,44756,20516,17444,0,0,103084,22288,6849160,14408,5504,22640,0,0,0,35860,129748,35860,93888,0,0,0,0,0,0,0,0,"2024-08-27 10:49:02,648"
7768248,71808,7696440,21504,23140,6898076,7688,6845156,15452,52920,20516,17444,0,0,111336,22288,6830944,14408,5504,22640,0,0,0,35140,129012,35140,93872,0,0,0,0,0,0,0,0,"2024-08-27 10:49:12,649"
7768248,68324,7699924,21504,25844,6898164,7688,6845212,18156,52952,20516,17444,0,0,114160,24356,6830976,14408,5504,22640,0,0,0,35140,129012,35140,93872,0,0,0,0,0,0,0,0,"2024-08-27 10:49:22,652"
7768248,68324,7699924,21504,25900,6898168,7688,6845216,18212,52952,20516,17444,0,0,114160,24356,6830980,14408,5504,22640,0,0,0,35140,129012,35140,93872,0,0,0,0,0,0,0,0,"2024-08-27 10:49:32,653"
7768248,60832,7707416,21672,26400,6905976,7688,6836420,18712,69556,20516,17444,0,0,131432,24288,6822020,14408,5504,22640,0,0,0,34884,128756,34884,93872,0,0,0,0,0,0,0,0,"2024-08-27 10:49:42,654"
7768248,60708,7707540,21672,27128,6905284,8344,6835776,18784,69508,20516,17444,0,0,131432,24288,6822028,14408,5504,22640,0,0,0,34884,128756,34884,93872,0,0,0,0,0,0,0,0,"2024-08-27 10:49:52,655"
7768248,6860388,907860,76,35216,112320,8144,41268,27072,71052,20516,17444,284,0,119752,30396,48676,14408,5504,6140,0,0,0,34672,128312,34672,93640,0,0,0,0,0,0,0,0,"2024-08-27 10:50:02,897"
7768248,6851764,916484,92,38404,113252,8144,41644,30260,71608,20516,17444,292,0,123200,32896,49156,14408,5568,6308,0,0,0,34604,127980,34604,93376,0,0,0,0,0,0,0,0,"2024-08-27 10:50:12,898"
7768248,6851796,916452,92,38584,112996,8144,41388,30440,71608,20516,17444,20,0,123444,33072,48840,14408,5536,6140,0,0,0,34604,128004,34604,93400,0,0,0,0,0,0,0,0,"2024-08-27 10:50:22,899"
7768248,6851572,916676,92,38584,113004,8144,41392,30440,71612,20516,17444,12,0,123460,33072,48856,14408,5536,6140,0,0,0,34604,127996,34604,93392,0,0,0,0,0,0,0,0,"2024-08-27 10:50:32,900"
7768248,6851408,916840,92,38780,113068,8144,41444,30636,71624,20516,17444,156,0,123592,33200,48916,14408,5536,6140,0,0,0,34604,127980,34604,93376,0,0,0,0,0,0,0,0,"2024-08-27 10:50:42,901"
7768248,5078160,2690088,92,41260,1885720,8144,1772372,33116,113348,20516,17444,20,0,167780,35312,1779748,14408,6016,6536,0,0,0,34604,128044,34604,93440,38912,0,0,0,0,0,0,0,"2024-08-27 10:50:52,902"
7768248,62144,7706104,47452,435592,6502040,432744,6497992,2848,4048,20516,17444,20,172,73972,21000,6896032,13088,6016,7428,0,0,0,34596,128036,34596,93440,2048,0,0,0,0,0,0,0,"2024-08-27 10:51:02,905"
7768248,62704,7705544,513480,2674516,4259000,2672780,4257412,1736,1588,20516,17444,0,144,531492,13908,6911828,8156,6016,7428,0,0,0,35052,128684,35052,93632,2048,0,0,0,0,0,0,0,"2024-08-27 10:51:12,907"
7768248,63248,7705000,1117112,3109876,3822624,3107912,3820916,1964,1708,20516,17444,12,184,1131496,10156,6902196,4180,6016,7428,0,0,0,36684,130316,36684,93632,2048,0,0,0,0,0,0,0,"2024-08-27 10:51:22,909"
7768248,60520,7707728,1558168,3158404,3773192,3156436,3771440,1968,1752,20516,17444,16,124,1572224,9584,6913608,3520,6016,7428,0,0,0,38028,131660,38028,93632,2048,0,0,0,0,0,0,0,"2024-08-27 10:51:32,912"
7768248,61492,7706756,1986592,3108696,3820808,3106732,3819100,1964,1708,20516,17444,24,92,2000604,9500,6912624,3524,6016,7428,0,0,0,39228,132860,39228,93632,2048,0,0,0,0,0,0,0,"2024-08-27 10:51:42,959"
7768248,61556,7706692,2304840,3177652,3751916,3175688,3750144,1964,1772,20516,17444,0,200,2318984,9520,6917852,3876,6016,7428,0,0,0,40188,133820,40188,93632,2048,0,0,0,0,0,0,0,"2024-08-27 10:51:52,961"
7768248,60272,7707976,2526180,3146540,3783864,3144576,3782156,1964,1708,20516,17444,12,104,2540280,9500,6911500,3612,6016,7428,0,0,0,41212,134844,41212,93632,2048,0,0,0,0,0,0,0,"2024-08-27 10:52:02,963"
7768248,60404,7707844,2396588,3118108,3811584,3116144,3809876,1964,1708,20516,17444,16,24,2410600,9424,6916816,3524,6016,7428,0,0,0,42108,135740,42108,93632,2048,0,0,0,0,0,0,0,"2024-08-27 10:52:12,965"
7768248,61888,7706360,2333156,3177156,3750616,3175192,3748908,1964,1708,20516,17444,20,48,2347168,9420,6920764,3524,6016,7428,0,0,0,42844,136500,42844,93656,2048,0,0,0,0,0,0,0,"2024-08-27 10:52:22,967"
7768248,62784,7705464,2285732,3225888,3705380,3223924,3703672,1964,1708,20516,17444,0,76,2299744,9416,6923352,3524,6016,7428,0,0,0,43516,137180,43516,93664,2048,0,0,0,0,0,0,0,"2024-08-27 10:52:32,969"
