Node 1 MemTotal,Node 1 MemFree,Node 1 MemUsed,Node 1 SwapCached,Node 1 Active,Node 1 Inactive,Node 1 Active(anon),Node 1 Inactive(anon),Node 1 Active(file),Node 1 Inactive(file),Node 1 Unevictable,Node 1 Mlocked,Node 1 Dirty,Node 1 Writeback,Node 1 FilePages,Node 1 Mapped,Node 1 AnonPages,Node 1 Shmem,Node 1 KernelStack,Node 1 PageTables,Node 1 NFS_Unstable,Node 1 Bounce,Node 1 WritebackTmp,Node 1 KReclaimable,Node 1 Slab,Node 1 SReclaimable,Node 1 SUnreclaim,Node 1 AnonHugePages,Node 1 ShmemHugePages,Node 1 ShmemPmdMapped,Node 1 FileHugePages,Node 1 FilePmdMapped,Node 1 HugePages_Total,Node 1 HugePages_Free,Node 1 HugePages_Surp,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-08-27 10:47:32,636"
0,101940,-101940,60,10956,696,0,456,10956,240,0,0,-20,0,11452,8292,484,4,16,-156,0,0,0,1608,1648,1608,40,0,0,0,0,0,0,0,0,"2024-08-27 10:47:42,638"
0,-9119444,9119444,60,12784,9201408,0,9149608,12784,51800,0,0,-4,0,64756,10336,9150108,4,-352,17732,0,0,0,1736,1744,1736,8,0,0,0,0,0,0,0,0,"2024-08-27 10:47:52,640"
0,-27600412,27600412,60,12784,27646184,0,27594384,12784,51800,0,0,-28,0,64760,10336,27594392,4,-352,53756,0,0,0,1736,1744,1736,8,0,0,0,0,0,0,0,0,"2024-08-27 10:48:02,641"
0,-46057648,46057648,60,12784,46067148,0,46015328,12784,51820,0,0,-28,0,64768,10336,46015772,4,-352,89860,0,0,0,1736,1744,1736,8,0,0,0,0,0,0,0,0,"2024-08-27 10:48:12,643"
0,-54624976,54624976,60,88368,54541312,0,50889092,88368,3652220,0,0,-28,0,3740808,10376,50889052,4,-352,99428,0,0,0,10072,10208,10072,136,0,0,0,0,0,0,0,0,"2024-08-27 10:48:22,644"
0,-59862948,59862948,60,195844,59659596,0,50889092,195844,8770504,0,0,-28,0,8966532,10376,50889052,4,-352,99428,0,0,0,21912,22216,21912,304,0,0,0,0,0,0,0,0,"2024-08-27 10:48:32,645"
0,-64840380,64840380,60,314104,64507844,-256,50889348,314360,13618496,0,0,-28,0,13933056,10376,50889052,4,-384,99428,0,0,0,32536,33024,32536,488,0,0,0,0,0,0,0,0,"2024-08-27 10:48:42,646"
0,-64778168,64778168,112,427172,64318312,-256,50889380,427428,13428932,0,0,-28,0,13856732,11012,50889128,4,-368,99444,0,0,0,43784,44456,43784,672,0,0,0,0,0,0,0,0,"2024-08-27 10:48:52,647"
0,-64801996,64801996,124,535944,64222536,-256,50889408,536200,13333128,0,0,-28,0,13869844,11016,50889148,4,-368,99444,0,0,0,54904,55744,54904,840,0,0,0,0,0,0,0,0,"2024-08-27 10:49:02,648"
