Node 1 MemTotal,Node 1 MemFree,Node 1 MemUsed,Node 1 SwapCached,Node 1 Active,Node 1 Inactive,Node 1 Active(anon),Node 1 Inactive(anon),Node 1 Active(file),Node 1 Inactive(file),Node 1 Unevictable,Node 1 Mlocked,Node 1 Dirty,Node 1 Writeback,Node 1 FilePages,Node 1 Mapped,Node 1 AnonPages,Node 1 Shmem,Node 1 KernelStack,Node 1 PageTables,Node 1 SecPageTables,Node 1 NFS_Unstable,Node 1 Bounce,Node 1 WritebackTmp,Node 1 KReclaimable,Node 1 Slab,Node 1 SReclaimable,Node 1 SUnreclaim,Node 1 AnonHugePages,Node 1 ShmemHugePages,Node 1 ShmemPmdMapped,Node 1 FileHugePages,Node 1 FilePmdMapped,Node 1 Unaccepted,Node 1 HugePages_Total,Node 1 HugePages_Free,Node 1 HugePages_Surp,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-09 08:42:48,045"
0,-2290292,2290292,0,56,2387656,0,1679256,56,708400,0,0,-4,0,708964,104548,1678768,548,16,4,0,0,0,0,-596,-612,-596,-16,0,0,0,0,0,0,0,0,0,"2024-09-09 08:42:58,047"
0,-11153820,11153820,0,116,11226620,0,10466656,116,759964,0,0,-4,0,760596,105252,10466204,548,16,16836,0,0,0,0,-484,-468,-484,16,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:08,049"
0,-29007516,29007516,0,116,29048424,0,28288460,116,759964,0,0,-4,0,760600,105252,28287956,548,16,51832,0,0,0,0,-484,-464,-484,20,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:18,050"
0,-46595600,46595600,0,116,46596248,0,45836264,116,759984,0,0,-4,0,760608,105252,45835736,548,16,86216,0,0,0,0,-484,-436,-484,48,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:28,051"
0,-56463824,56463824,0,3152,56437360,0,52567880,3152,3869480,0,0,-4,0,3873156,105252,52567352,548,16,99820,0,0,0,0,6664,6836,6664,172,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:38,053"
0,-61631204,61631204,0,8172,61559604,0,52567724,8172,8991880,0,0,-4,0,9000672,105252,52567172,548,24,99836,0,0,0,0,18408,18808,18408,400,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:48,054"
0,-64973316,64973316,548,17632,64880168,-4,52549796,17636,12330372,0,0,-4,0,12349168,71204,52548716,528,24,99836,0,0,0,0,30268,30884,30268,616,0,0,0,0,0,0,0,0,0,"2024-09-09 08:43:58,056"
0,-65004700,65004700,548,42048,64873828,-4,52549796,42052,12324032,0,0,-4,0,12367104,59980,52548716,528,24,99836,0,0,0,0,42060,42860,42060,800,0,0,0,0,0,0,0,0,0,"2024-09-09 08:44:08,057"
0,-64964112,64964112,560,54784,64819284,12,52549816,54772,12269468,0,0,-4,0,12325376,51184,52548784,528,24,99836,0,0,0,0,51780,52732,51780,952,0,0,0,0,0,0,0,0,0,"2024-09-09 08:44:18,058"
0,-64984980,64984980,452,61116,64827364,12,52541280,61104,12286084,0,0,-4,0,12348272,41480,52540356,528,24,99836,0,0,0,0,61648,62784,61648,1136,0,0,0,0,0,0,0,0,0,"2024-09-09 08:44:28,060"
0,-64973848,64973848,460,68540,64790212,12,52541288,68528,12248924,0,0,-4,0,12318448,31316,52540360,528,24,99836,0,0,0,0,73056,74376,73056,1320,0,0,0,0,0,0,0,0,0,"2024-09-09 08:44:38,061"
0,-64960444,64960444,484,74316,64778676,12,52540280,74304,12238396,0,0,-4,0,12313780,25712,52539344,528,24,99836,0,0,0,0,83408,84872,83408,1464,0,0,0,0,0,0,0,0,0,"2024-09-09 08:44:48,062"
0,-65019752,65019752,512,76844,64829068,12,52522716,76832,12306352,0,0,-4,0,12384300,19400,52521708,528,24,99836,0,0,0,0,94512,96160,94512,1648,0,0,0,0,0,0,0,0,0,"2024-09-09 08:44:58,063"
0,-64975320,64975320,508,81052,64742180,8,52494632,81044,12247548,0,0,4,0,12329740,13880,52493660,532,24,99836,0,0,0,0,105280,107132,105280,1852,0,0,0,0,0,0,0,0,0,"2024-09-09 08:45:08,064"
0,-63571056,63571056,392,84648,63094148,8,50897580,84640,12196568,0,0,4,0,12282268,12268,50896988,532,8,99836,0,0,0,0,107548,109440,107548,1892,0,0,0,0,0,0,0,0,0,"2024-09-09 08:45:18,065"
0,-63277544,63277544,856,86896,63094764,16,50898152,86880,12196612,0,0,16,0,12284836,13224,50897472,532,-104,99836,0,0,0,0,106816,101776,106816,-5040,0,0,0,0,0,0,0,0,0,"2024-09-09 08:45:28,067"
0,-63276684,63276684,856,86896,63094764,16,50898152,86880,12196612,0,0,20,0,12284836,13224,50897472,532,-104,99836,0,0,0,0,106816,101776,106816,-5040,0,0,0,0,0,0,0,0,0,"2024-09-09 08:45:38,068"
0,-63276564,63276564,856,86904,63094756,16,50898152,86888,12196604,0,0,20,0,12284836,13224,50897472,532,-88,99836,0,0,0,0,106816,101744,106816,-5072,0,0,0,0,0,0,0,0,0,"2024-09-09 08:45:48,069"
0,-63276456,63276456,856,86904,63094752,16,50898148,86888,12196604,0,0,20,0,12284836,13248,50897468,532,-88,99836,0,0,0,0,106816,101732,106816,-5084,0,0,0,0,0,0,0,0,0,"2024-09-09 08:45:58,070"
0,-57374784,57374784,960,86904,57101300,16,44820028,86888,12281272,0,0,-4,0,12369644,19340,44819348,568,-88,99836,0,0,0,0,106812,101728,106812,-5084,0,0,0,0,0,0,0,0,0,"2024-09-09 08:46:08,079"
0,-57322812,57322812,2896,86904,57074124,16,44764240,86888,12309884,0,0,-4,0,12408832,39224,44754788,9208,-88,99836,0,0,0,0,106752,101668,106752,-5084,36864,0,0,0,0,0,0,0,0,"2024-09-09 08:46:18,084"
0,-57275604,57275604,2896,86904,57009628,16,44699744,86888,12309884,0,0,-4,0,12409252,39644,44689872,9628,-88,99836,0,0,0,0,106752,101668,106752,-5084,36864,0,0,0,0,0,0,0,0,"2024-09-09 08:46:28,086"
0,-57266296,57266296,2896,86904,56989144,16,44679260,86888,12309884,0,0,-4,0,12409252,39644,44669388,9628,-88,99836,0,0,0,0,106752,101668,106752,-5084,36864,0,0,0,0,0,0,0,0,"2024-09-09 08:46:38,092"
0,-57248688,57248688,2896,86904,56979604,16,44669720,86888,12309884,0,0,-4,0,12409252,39644,44659848,9628,-88,99836,0,0,0,0,106752,101668,106752,-5084,36864,0,0,0,0,0,0,0,0,"2024-09-09 08:46:48,094"
0,-57215152,57215152,2896,86904,56969588,16,44659704,86888,12309884,0,0,0,0,12409252,39644,44649832,9628,-88,99836,0,0,0,0,106752,101668,106752,-5084,36864,0,0,0,0,0,0,0,0,"2024-09-09 08:46:58,104"
0,-57213640,57213640,2896,86904,56962540,16,44652656,86888,12309884,0,0,-4,0,12409252,39644,44642784,9628,-88,99836,0,0,0,0,106752,101668,106752,-5084,36864,0,0,0,0,0,0,0,0,"2024-09-09 08:47:08,115"
0,-57204064,57204064,2896,86904,56954596,16,44644712,86888,12309884,0,0,-4,0,12409252,39644,44634840,9628,-88,99836,0,0,0,0,106752,101668,106752,-5084,36864,0,0,0,0,0,0,0,0,"2024-09-09 08:47:18,117"
