nr_free_pages,nr_zone_inactive_anon,nr_zone_active_anon,nr_zone_inactive_file,nr_zone_active_file,nr_zone_unevictable,nr_zone_write_pending,nr_mlock,nr_bounce,nr_zspages,nr_free_cma,numa_hit,numa_miss,numa_foreign,numa_interleave,numa_local,numa_other,nr_inactive_anon,nr_active_anon,nr_inactive_file,nr_active_file,nr_unevictable,nr_slab_reclaimable,nr_slab_unreclaimable,nr_isolated_anon,nr_isolated_file,workingset_nodes,workingset_refault_anon,workingset_refault_file,workingset_activate_anon,workingset_activate_file,workingset_restore_anon,workingset_restore_file,workingset_nodereclaim,nr_anon_pages,nr_mapped,nr_file_pages,nr_dirty,nr_writeback,nr_writeback_temp,nr_shmem,nr_shmem_hugepages,nr_shmem_pmdmapped,nr_file_hugepages,nr_file_pmdmapped,nr_anon_transparent_hugepages,nr_vmscan_write,nr_vmscan_immediate_reclaim,nr_dirtied,nr_written,nr_throttled_written,nr_kernel_misc_reclaimable,nr_foll_pin_acquired,nr_foll_pin_released,nr_kernel_stack,nr_page_table_pages,nr_swapcached,pgpromote_success,nr_dirty_threshold,nr_dirty_background_threshold,pgpgin,pgpgout,pswpin,pswpout,pgalloc_dma,pgalloc_dma32,pgalloc_normal,pgalloc_movable,allocstall_dma,allocstall_dma32,allocstall_normal,allocstall_movable,pgskip_dma,pgskip_dma32,pgskip_normal,pgskip_movable,pgfree,pgactivate,pgdeactivate,pglazyfree,pgfault,pgmajfault,pglazyfreed,pgrefill,pgreuse,pgsteal_kswapd,pgsteal_direct,pgdemote_kswapd,pgdemote_direct,pgscan_kswapd,pgscan_direct,pgscan_direct_throttle,pgscan_anon,pgscan_file,pgsteal_anon,pgsteal_file,zone_reclaim_failed,pginodesteal,slabs_scanned,kswapd_inodesteal,kswapd_low_wmark_hit_quickly,kswapd_high_wmark_hit_quickly,pageoutrun,pgrotated,drop_pagecache,drop_slab,oom_kill,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,numa_hint_faults_local,numa_pages_migrated,pgmigrate_success,pgmigrate_fail,thp_migration_success,thp_migration_fail,thp_migration_split,compact_migrate_scanned,compact_free_scanned,compact_isolated,compact_stall,compact_fail,compact_success,compact_daemon_wake,compact_daemon_migrate_scanned,compact_daemon_free_scanned,htlb_buddy_alloc_success,htlb_buddy_alloc_fail,cma_alloc_success,cma_alloc_fail,unevictable_pgs_culled,unevictable_pgs_scanned,unevictable_pgs_rescued,unevictable_pgs_mlocked,unevictable_pgs_munlocked,unevictable_pgs_cleared,unevictable_pgs_stranded,thp_fault_alloc,thp_fault_fallback,thp_fault_fallback_charge,thp_collapse_alloc,thp_collapse_alloc_failed,thp_file_alloc,thp_file_fallback,thp_file_fallback_charge,thp_file_mapped,thp_split_page,thp_split_page_failed,thp_deferred_split_page,thp_split_pmd,thp_scan_exceed_none_pte,thp_scan_exceed_swap_pte,thp_scan_exceed_share_pte,thp_split_pud,thp_zero_page_alloc,thp_zero_page_alloc_failed,thp_swpout,thp_swpout_fallback,balloon_inflate,balloon_deflate,balloon_migrate,swap_ra,swap_ra_hit,ksm_swpin_copy,cow_ksm,zswpin,zswpout,direct_map_level2_splits,direct_map_level3_splits,nr_unstable,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-08-18 02:10:09,458"
-1550764,1716812,1023,-109337,-27869,0,-89,0,0,0,0,2102907,161,161,0,540,2102528,1716812,1023,-109337,-27869,0,-2180,83,0,0,687,87,377,0,377,0,358,2749,1712724,-10739,-132168,-89,0,0,-120,0,0,0,0,0,385723,6,8,385820,0,0,0,0,16,4161,5279,0,-337511,-168550,2032,1543272,88,385723,0,388939,1714129,0,0,0,13,1239,0,0,0,0,519600,12217,39528,0,2098637,82,0,43337,167,456605,61699,0,0,2060296,566725,0,2476749,150272,380528,137776,0,1,92974,2596,18,0,19,380734,0,0,0,0,0,0,0,0,97,1,0,0,0,770,49124,460,0,0,0,3,770,49124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,"2024-08-18 02:10:19,460"
-3830408,3978321,1023,-96442,-27475,0,-89,0,0,0,0,4382177,161,161,0,2279810,2102528,3978321,1023,-96442,-27475,0,-2148,83,0,0,682,89,754,0,754,0,731,2749,3974232,-10292,-118879,-89,0,0,-120,0,0,0,0,0,385723,6,16,385828,0,0,0,0,16,8466,5281,0,-790672,-394853,55000,1543320,89,385723,0,388939,3993407,0,0,0,13,1239,0,0,0,0,519610,12222,39528,0,4360537,100,0,43337,191,456605,61699,0,0,2060296,566725,0,2476749,150272,380528,137776,0,1,92974,2596,18,0,19,380739,0,0,0,1173255,0,227,227,0,97,1,0,0,0,770,49124,460,0,0,0,3,770,49124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,"2024-08-18 02:10:29,462"
-8430605,8569569,1023,-96442,-27475,0,-89,0,0,0,0,8982390,161,161,0,6880024,2102528,8569569,1023,-96442,-27475,0,-2148,83,0,0,682,92,754,0,754,0,731,2749,8565465,-10292,-118876,-89,0,0,-120,0,0,0,0,0,385723,6,21,385833,0,0,0,0,16,17553,5283,0,-1710486,-854199,55012,1543340,92,385723,0,388939,8593621,0,0,0,13,1239,0,0,0,0,519619,12222,39528,0,8952340,103,0,43337,210,456605,61699,0,0,2060296,566725,0,2476749,150272,380528,137776,0,1,92974,2596,18,0,19,380739,0,0,0,3204871,0,790,790,0,97,1,0,0,0,770,49124,460,0,0,0,3,770,49124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,"2024-08-18 02:10:39,463"
-13037669,13167592,1023,-96442,-27475,0,-89,0,0,0,0,18189647,161,161,0,11487089,2102528,13167592,1023,-96442,-27475,0,-2148,83,0,0,682,92,754,0,754,0,731,2749,13163492,-10292,-118874,-89,0,0,-120,0,0,0,0,0,385723,6,27,385839,0,0,0,0,16,26566,5283,0,-2631674,-1314231,55012,1543364,92,385723,0,388939,13200686,0,0,0,13,1239,0,0,0,0,519626,12222,39528,0,13550748,103,0,43337,217,456605,61699,0,0,2060296,566725,0,2476749,150272,380528,137776,0,1,92974,2596,18,0,19,380739,0,0,0,5695239,0,1131,1131,0,97,1,0,0,0,770,49124,460,0,0,0,3,770,49124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,"2024-08-18 02:10:49,465"
-15302025,14438902,1279,867251,-4299,0,-89,0,0,0,0,20451680,161,161,0,13749122,2102528,14438902,1279,867251,-4299,0,88,111,0,0,624,200,3518,0,3518,0,3013,2749,14435012,-9531,868125,-89,0,0,-120,0,0,0,0,0,385723,6,32,385844,0,0,0,0,32,29059,5388,0,-2887109,-1441792,4003092,1543384,200,385723,0,388939,15462731,0,0,0,13,1239,0,0,0,0,520196,31862,39528,0,15807234,319,0,43337,289,456605,61699,0,0,2060296,566725,0,2476749,150272,380528,137776,0,1,92974,2596,18,0,19,380739,0,0,0,7333639,0,985198,985198,0,97,1,0,0,0,770,49124,460,0,0,0,3,770,49124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,"2024-08-18 02:10:59,466"
-16709170,14438940,1279,2240761,25282,0,-89,0,0,0,0,21856923,161,161,0,15154365,2102528,14438940,1279,2240761,25282,0,3268,161,0,0,616,201,4175,0,4175,0,3134,2749,14435025,-9170,2271240,-89,0,0,-120,0,0,0,0,0,385723,6,38,385850,0,0,0,0,32,29059,5389,0,-2887920,-1442197,9618096,1543408,201,385723,0,388939,16867970,0,0,0,13,1239,0,0,0,0,520893,59566,39528,0,16596107,417,0,43337,289,456605,61699,0,0,2060296,566725,0,2476749,150272,380528,137776,0,1,92974,2596,18,0,19,380739,0,0,0,8578822,0,1773675,1773675,0,97,1,0,0,0,770,49124,460,0,0,0,3,770,49124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,"2024-08-18 02:11:09,467"
-17637963,14437007,927,3135977,59034,0,-89,0,0,0,0,23244773,12748,12748,0,16542215,2115115,14437007,927,3135972,59034,0,6104,209,0,0,5741,201,4713,0,4713,0,3340,2877,14432828,-8734,3200194,-89,0,0,-120,0,0,0,0,0,387946,6,44,388079,0,0,0,0,32,29059,5315,0,-2885768,-1441122,15216412,1552336,201,387946,0,388939,18268391,0,0,0,13,1239,0,0,0,0,997658,91742,39895,0,17362215,417,0,43704,289,930050,61699,0,0,2546172,566725,0,2481438,631459,382825,608924,0,1,105390,2596,21,24,50,382959,0,0,0,9824006,0,2539777,2539777,0,3023,1,0,0,0,165421,51058,7406,0,0,0,7,165421,51058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,"2024-08-18 02:11:19,468"
-17631969,14437016,927,3094290,91772,0,-89,0,0,0,0,24648019,12748,12748,0,17945461,2115115,14437016,927,3094290,91772,0,8956,257,0,0,20907,201,4713,0,4713,0,3340,4669,14432833,-8734,3191242,-89,0,0,-120,0,0,0,0,0,387946,6,51,388086,0,0,0,0,32,29059,5315,0,-2887556,-1442016,20826352,1552364,201,387946,0,388939,19671637,0,0,0,13,1239,0,0,0,0,2409285,123088,39895,0,18211917,417,0,43704,289,2341566,61699,0,0,3963868,566725,0,2481438,2049155,382825,2020440,0,1,107182,2596,21,110,136,382959,0,0,0,11069190,0,3389474,3389474,0,3023,1,0,0,0,165421,51058,7406,0,0,0,7,165421,51058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,"2024-08-18 02:11:29,470"
-17623408,14437025,927,3051418,123068,0,-89,0,0,0,0,26013319,13290,13290,0,19310761,2115657,14437025,927,3051418,123068,0,11890,305,0,0,35356,201,4713,0,4713,0,3340,5309,14432846,-8734,3179642,-89,0,0,-120,0,0,0,0,0,387946,6,57,388092,0,0,0,0,32,29059,5315,0,-2889079,-1442776,26286404,1552388,201,387946,0,388939,21037482,0,0,0,13,1239,0,0,0,0,3785941,153049,39895,0,19577077,417,0,43704,289,3718148,61699,0,0,5345573,566725,0,2481438,3430860,382825,3397022,0,1,107822,2596,21,196,222,382959,0,0,0,12314374,0,4754621,4754621,0,3023,1,0,0,0,165421,51058,7406,0,0,0,7,165421,51058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,"2024-08-18 02:11:39,471"
