Node 1 MemTotal,Node 1 MemFree,Node 1 MemUsed,Node 1 SwapCached,Node 1 Active,Node 1 Inactive,Node 1 Active(anon),Node 1 Inactive(anon),Node 1 Active(file),Node 1 Inactive(file),Node 1 Unevictable,Node 1 Mlocked,Node 1 Dirty,Node 1 Writeback,Node 1 FilePages,Node 1 Mapped,Node 1 AnonPages,Node 1 Shmem,Node 1 KernelStack,Node 1 PageTables,Node 1 SecPageTables,Node 1 NFS_Unstable,Node 1 Bounce,Node 1 WritebackTmp,Node 1 KReclaimable,Node 1 Slab,Node 1 SReclaimable,Node 1 SUnreclaim,Node 1 AnonHugePages,Node 1 ShmemHugePages,Node 1 ShmemPmdMapped,Node 1 FileHugePages,Node 1 FilePmdMapped,Node 1 Unaccepted,Node 1 HugePages_Total,Node 1 HugePages_Free,Node 1 HugePages_Surp,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-05 08:22:52,778"
0,91640,-91640,0,1904,612,-4,308,1908,304,0,0,0,0,1864,852,240,4,48,-236,0,0,0,0,192,660,192,468,0,0,0,0,0,0,0,0,0,"2024-09-05 08:23:02,783"
0,-8632012,8632012,4,3296,8694804,-4,8642876,3300,51928,0,0,0,0,54908,2224,8642888,4,48,16688,0,0,0,0,192,672,192,480,0,0,0,0,0,0,0,0,0,"2024-09-05 08:23:12,785"
0,-26058540,26058540,4,3296,26082460,-4,26030532,3300,51928,0,0,0,0,54912,2224,26030532,4,48,50684,0,0,0,0,192,672,192,480,0,0,0,0,0,0,0,0,0,"2024-09-05 08:23:22,786"
0,-43404324,43404324,4,3308,43398192,-4,43346264,3312,51928,0,0,0,0,54920,2224,43346196,4,48,84736,0,0,0,0,192,680,192,488,0,0,0,0,0,0,0,0,0,"2024-09-05 08:23:32,787"
0,-53829504,53829504,4,6084,53792168,-4,50888900,6088,2903268,0,0,0,0,2909068,2224,50888832,4,48,99580,0,0,0,0,6208,6816,6208,608,0,0,0,0,0,0,0,0,0,"2024-09-05 08:23:42,788"
0,-59026776,59026776,4,11144,58971984,-4,50888932,11148,8083052,0,0,0,0,8094028,2224,50888836,4,48,99580,0,0,0,0,17968,18768,17968,800,0,0,0,0,0,0,0,0,0,"2024-09-05 08:23:52,791"
0,-64152904,64152904,12,16832,64076896,-4,50888940,16836,13187956,0,0,0,0,13204540,2972,50888848,4,48,99580,0,0,0,0,29536,30520,29536,984,0,0,0,0,0,0,0,0,0,"2024-09-05 08:24:02,792"
0,-64845768,64845768,20,36684,64729048,-16,50888112,36700,13840936,0,0,0,0,13877180,2972,50888024,-8,96,99628,0,0,0,0,40672,41916,40672,1244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:24:12,793"
0,-64796360,64796360,36,53120,64658960,-16,50888152,53136,13770808,0,0,0,0,13823608,3052,50888048,-8,96,99628,0,0,0,0,51792,53212,51792,1420,0,0,0,0,0,0,0,0,0,"2024-09-05 08:24:22,795"
0,-64849476,64849476,36,64720,64682828,-16,50888232,64736,13794596,0,0,4,0,13859476,-15468,50888100,-8,96,99628,0,0,0,0,63256,64852,63256,1596,0,0,0,0,0,0,0,0,0,"2024-09-05 08:24:32,796"
0,-64762852,64762852,36,73168,64576912,-16,50887848,73184,13689064,0,0,0,0,13762428,-16432,50887684,-8,96,99628,0,0,0,0,74616,76396,74616,1780,0,0,0,0,0,0,0,0,0,"2024-09-05 08:24:42,798"
0,-64836692,64836692,36,79612,64635836,-16,50887848,79628,13747988,0,0,0,0,13827792,-19748,50887696,-8,96,99628,0,0,0,0,84984,86916,84984,1932,0,0,0,0,0,0,0,0,0,"2024-09-05 08:24:52,799"
0,-64823936,64823936,76,89412,64596260,-16,50887912,89428,13708348,0,0,0,0,13798000,-20204,50887760,-4,96,99636,0,0,0,0,96084,98232,96084,2148,0,0,0,0,0,0,0,0,0,"2024-09-05 08:25:02,800"
0,-64841660,64841660,84,94540,64581328,0,50887896,94540,13693432,0,0,0,0,13788224,-22564,50887736,12,-432,99636,0,0,0,0,107536,109620,107536,2084,0,0,0,0,0,0,0,0,0,"2024-09-05 08:25:12,802"
0,-64742316,64742316,84,101060,64496336,4,50887984,101056,13608352,0,0,396,0,13709256,-19572,50887856,12,-488,99856,0,0,0,0,112160,111260,112160,-900,0,0,0,0,0,0,0,0,0,"2024-09-05 08:25:22,853"
0,-64706744,64706744,84,101448,64496656,4,50887888,101444,13608768,0,0,8,0,13709688,-19960,50887704,8,-656,99636,0,0,0,0,111444,106168,111444,-5276,0,0,0,0,0,0,0,0,0,"2024-09-05 08:25:32,854"
0,-64706628,64706628,84,101448,64496656,4,50887888,101444,13608768,0,0,0,0,13709688,-19960,50887704,8,-656,99636,0,0,0,0,111444,106168,111444,-5276,0,0,0,0,0,0,0,0,0,"2024-09-05 08:25:42,855"
0,-64706468,64706468,84,101448,64496656,4,50887888,101444,13608768,0,0,0,0,13709688,-19960,50887704,8,-656,99636,0,0,0,0,111444,106168,111444,-5276,0,0,0,0,0,0,0,0,0,"2024-09-05 08:25:52,856"
0,-64706308,64706308,84,101448,64496636,4,50887868,101444,13608768,0,0,0,0,13709688,-19956,50887684,8,-656,99636,0,0,0,0,111432,106156,111432,-5276,0,0,0,0,0,0,0,0,0,"2024-09-05 08:26:02,857"
0,-58604344,58604344,84,101436,58314628,-12,44705864,101448,13608764,0,0,0,0,13709672,-19652,44705680,-8,-632,99636,0,0,0,0,111424,106148,111424,-5276,0,0,0,0,0,0,0,0,0,"2024-09-05 08:26:12,878"
0,-58029400,58029400,139648,202916,57617792,101216,44009028,101700,13608764,0,0,0,0,13849488,-19568,44101824,-8,-632,99636,0,0,0,0,111836,106592,111836,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:26:22,899"
0,-57932024,57932024,143316,204872,57513072,103172,43904308,101700,13608764,0,0,0,0,13853156,-19496,43999816,-8,-632,99636,0,0,0,0,111868,106624,111868,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:26:32,916"
0,-57921744,57921744,143296,204872,57494332,103172,43885568,101700,13608764,0,0,0,0,13853136,-19404,43981636,-8,-632,99636,0,0,0,0,111868,106624,111868,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:26:42,918"
0,-57911704,57911704,143280,204872,57484244,103172,43875480,101700,13608764,0,0,0,0,13853120,-19404,43971972,-8,-632,99636,0,0,0,0,111868,106624,111868,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:26:52,923"
0,-57900640,57900640,143552,205324,57477240,103220,43868476,102104,13608764,0,0,0,0,13853796,-18984,43965236,-8,-632,99636,0,0,0,0,111868,106624,111868,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:27:02,950"
0,-57900880,57900880,168016,229108,57473448,126420,43864676,102688,13608772,0,0,0,0,13878856,-18720,43984084,-4,-632,99636,0,0,0,0,111900,106656,111900,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:27:12,963"
0,-57898304,57898304,167992,229108,57466912,126420,43858140,102688,13608772,0,0,0,0,13878832,-18688,43978152,-4,-632,99636,0,0,0,0,111900,106656,111900,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:27:22,964"
0,-57892424,57892424,167972,229108,57458472,126420,43849700,102688,13608772,0,0,0,0,13878808,-18688,43969984,-8,-632,99636,0,0,0,0,111900,106656,111900,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:27:32,967"
0,-57890912,57890912,167952,229108,57452296,126420,43843524,102688,13608772,0,0,0,0,13878788,-18688,43964176,-8,-632,99636,0,0,0,0,111900,106656,111900,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:27:42,975"
0,-57890408,57890408,167932,229108,57446352,126420,43837580,102688,13608772,0,0,0,0,13878768,-18688,43958608,-8,-632,99636,0,0,0,0,111900,106656,111900,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:27:52,977"
0,-57886552,57886552,167932,229108,57441152,126420,43832380,102688,13608772,0,0,0,0,13878768,-18688,43953776,-8,-632,99636,0,0,0,0,111916,106672,111916,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:28:02,983"
0,-57877744,57877744,168024,229116,57436412,126428,43827640,102688,13608772,0,0,0,0,13878860,-18628,43949328,-8,-632,99636,0,0,0,0,111916,106672,111916,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:28:12,999"
0,-57866924,57866924,168020,229116,57431536,126428,43822764,102688,13608772,0,0,0,0,13878856,-18628,43944744,-8,-632,99636,0,0,0,0,111916,106672,111916,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:28:23,001"
0,-57867332,57867332,168708,229264,57427548,126576,43818776,102688,13608772,0,0,0,0,13879544,-18628,43940984,-8,-632,99636,0,0,0,0,111948,106704,111948,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:28:33,026"
0,-57864308,57864308,168728,229264,57423236,126576,43814464,102688,13608772,0,0,0,0,13879564,-18628,43936988,-8,-632,99636,0,0,0,0,111948,106704,111948,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:28:43,031"
0,-57862148,57862148,168756,229276,57418896,126580,43810124,102696,13608772,0,0,0,0,13879600,-18628,43932848,-8,-632,99636,0,0,0,0,111944,106700,111944,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:28:53,033"
0,-57858332,57858332,168756,229276,57414668,126580,43805896,102696,13608772,0,0,0,0,13879600,-18628,43928840,-8,-632,99636,0,0,0,0,111944,106700,111944,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:29:03,039"
0,-57856028,57856028,169072,231428,57411200,126712,43802428,104716,13608772,0,0,0,0,13881952,-18628,43925500,8,-632,99636,0,0,0,0,111944,106700,111944,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:29:13,041"
0,-57853760,57853760,169224,231488,57407556,126772,43798784,104716,13608772,0,0,0,0,13882104,-18628,43922036,8,-632,99636,0,0,0,0,111960,106716,111960,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:29:23,054"
0,-57849464,57849464,169884,231664,57404716,126948,43795944,104716,13608772,0,0,0,0,13882764,-18628,43919416,8,-632,99636,0,0,0,0,111960,106716,111960,-5244,0,0,0,0,0,0,0,0,0,"2024-09-05 08:29:33,056"
