Node 0 MemTotal,Node 0 MemFree,Node 0 MemUsed,Node 0 SwapCached,Node 0 Active,Node 0 Inactive,Node 0 Active(anon),Node 0 Inactive(anon),Node 0 Active(file),Node 0 Inactive(file),Node 0 Unevictable,Node 0 Mlocked,Node 0 Dirty,Node 0 Writeback,Node 0 FilePages,Node 0 Mapped,Node 0 AnonPages,Node 0 Shmem,Node 0 KernelStack,Node 0 PageTables,Node 0 SecPageTables,Node 0 NFS_Unstable,Node 0 Bounce,Node 0 WritebackTmp,Node 0 KReclaimable,Node 0 Slab,Node 0 SReclaimable,Node 0 SUnreclaim,Node 0 AnonHugePages,Node 0 ShmemHugePages,Node 0 ShmemPmdMapped,Node 0 FileHugePages,Node 0 FilePmdMapped,Node 0 Unaccepted,Node 0 HugePages_Total,Node 0 HugePages_Free,Node 0 HugePages_Surp,timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-09-05 08:22:52,778"
0,-6283592,6283592,8872,-143416,6456424,360,6827220,-143776,-370796,0,0,0,0,-506364,-33088,6819504,-672,0,16584,0,0,0,0,-22960,-23508,-22960,-548,0,0,0,0,0,0,0,0,0,"2024-09-05 08:23:02,782"
0,-6284560,6284560,8876,-142824,6456020,360,6827284,-143184,-371264,0,0,0,0,-506224,-33020,6819572,-672,0,16584,0,0,0,0,-22968,-23536,-22968,-568,0,0,0,0,0,0,0,0,0,"2024-09-05 08:23:12,785"
0,-6284812,6284812,8876,-142824,6456020,360,6827284,-143184,-371264,0,0,0,0,-506224,-33020,6819580,-672,0,16584,0,0,0,0,-22968,-23536,-22968,-568,0,0,0,0,0,0,0,0,0,"2024-09-05 08:23:22,786"
0,-6285096,6285096,8876,-142824,6456020,360,6827284,-143184,-371264,0,0,0,0,-506224,-33020,6819584,-672,0,16584,0,0,0,0,-22968,-23536,-22968,-568,0,0,0,0,0,0,0,0,0,"2024-09-05 08:23:32,787"
0,-6285076,6285076,8876,-142824,6456020,360,6827284,-143184,-371264,0,0,0,0,-506224,-33020,6819588,-672,0,16584,0,0,0,0,-22968,-23536,-22968,-568,0,0,0,0,0,0,0,0,0,"2024-09-05 08:23:42,788"
0,-6285076,6285076,8876,-142824,6456020,360,6827284,-143184,-371264,0,0,0,0,-506224,-33020,6819596,-672,0,16584,0,0,0,0,-22968,-23536,-22968,-568,0,0,0,0,0,0,0,0,0,"2024-09-05 08:23:52,791"
0,-6285076,6285076,8876,-142824,6456060,360,6827324,-143184,-371264,0,0,0,0,-506224,-33020,6819604,-672,0,16584,0,0,0,0,-22968,-23536,-22968,-568,0,0,0,0,0,0,0,0,0,"2024-09-05 08:24:02,792"
0,-6276472,6276472,4588,-142792,6429600,364,6751268,-143156,-321668,0,0,0,0,-460852,-35648,6748140,-672,32,16600,0,0,0,0,-22804,-23388,-22804,-584,0,0,0,0,0,0,0,0,0,"2024-09-05 08:24:12,793"
0,-6275672,6275672,4596,-142600,6428524,364,6751348,-142964,-322824,0,0,0,0,-461780,-37688,6748160,-672,32,16600,0,0,0,0,-28048,-28816,-28048,-768,0,0,0,0,0,0,0,0,0,"2024-09-05 08:24:22,794"
0,-6314196,6314196,4248,-141916,6467504,364,6684440,-142280,-216936,0,0,0,0,-355140,-36820,6681628,-672,32,16600,0,0,0,0,-27572,-28344,-27572,-772,0,0,0,0,0,0,0,0,0,"2024-09-05 08:24:32,796"
0,-6285628,6285628,4252,-141732,6434572,364,6684040,-142096,-249468,0,0,0,0,-387592,-37260,6681300,-672,32,16600,0,0,0,0,-27492,-28288,-27492,-796,0,0,0,0,0,0,0,0,0,"2024-09-05 08:24:42,797"
0,-6314548,6314548,4252,-141344,6456692,364,6684136,-141708,-227444,0,0,0,0,-365316,-37584,6681300,-672,32,16600,0,0,0,0,-26580,-27376,-26580,-796,0,0,0,0,0,0,0,0,0,"2024-09-05 08:24:52,799"
0,-6314728,6314728,4272,-140572,6456120,364,6675428,-140936,-219308,0,0,0,0,-356184,-37560,6672560,-672,32,16600,0,0,0,0,-26396,-27208,-26396,-812,0,0,0,0,0,0,0,0,0,"2024-09-05 08:25:02,800"
0,-6312812,6312812,4408,-140052,6445684,356,6621876,-140408,-176192,0,0,0,0,-312512,-37408,6618968,-652,-240,16616,0,0,0,0,-26104,-27180,-26104,-1076,0,0,0,0,0,0,0,0,0,"2024-09-05 08:25:12,802"
0,324272,-324272,888,-140380,-164012,148,-12016,-140528,-151996,0,0,4,0,-292176,-37476,-11712,-652,-368,864,0,0,0,0,-26088,-27352,-26088,-1264,0,0,0,0,0,0,0,0,0,"2024-09-05 08:25:22,853"
0,333328,-333328,888,-139812,-164768,148,-12812,-139960,-151956,0,0,8,0,-291532,-37052,-12696,-648,-384,92,0,0,0,0,-26300,-27664,-26300,-1364,0,0,0,0,0,0,0,0,0,"2024-09-05 08:25:32,854"
0,337856,-337856,888,-139812,-164760,148,-12812,-139960,-151948,0,0,0,0,-291524,-37052,-12680,-648,-384,92,0,0,0,0,-26300,-27664,-26300,-1364,0,0,0,0,0,0,0,0,0,"2024-09-05 08:25:42,855"
0,339348,-339348,888,-139812,-164752,148,-12812,-139960,-151940,0,0,0,0,-291516,-37052,-12664,-648,-384,92,0,0,0,0,-26300,-27664,-26300,-1364,0,0,0,0,0,0,0,0,0,"2024-09-05 08:25:52,856"
0,338996,-338996,888,-139700,-164696,148,-12760,-139848,-151936,0,0,0,0,-291500,-37052,-12612,-648,-384,92,0,0,0,0,-26292,-27624,-26292,-1332,0,0,0,0,0,0,0,0,0,"2024-09-05 08:26:02,857"
0,-6294468,6294468,36540,132284,6014720,282488,6386704,-150204,-371984,0,0,0,284,-486872,-40608,6634580,-784,88,1512,0,0,0,0,-26300,-27536,-26300,-1236,2048,0,0,0,0,0,0,0,0,"2024-09-05 08:26:12,878"
0,-6305576,6305576,547292,2564068,3634344,2714620,4010800,-150552,-376456,0,0,0,0,19120,-43900,6668908,-880,88,1512,0,0,0,0,-25312,-26484,-25312,-1172,2048,0,0,0,0,0,0,0,0,"2024-09-05 08:26:22,899"
0,-6290648,6290648,588936,2543644,3731204,2694416,4107128,-150772,-375924,0,0,0,0,60956,-43544,6772604,-1284,88,1512,0,0,0,0,-25312,-26484,-25312,-1172,2048,0,0,0,0,0,0,0,0,"2024-09-05 08:26:32,916"
0,-6307996,6307996,605024,2547784,3764012,2698168,4138344,-150384,-374332,0,0,0,0,79024,-42192,6805984,-1284,88,1512,0,0,0,0,-25312,-26484,-25312,-1172,2048,0,0,0,0,0,0,0,0,"2024-09-05 08:26:42,918"
